737_Pilot_Operating_Manual_nouns.csv
Unique nouns: 1451,Total nouns: 2296
Total time: 14.537 sec,Cost per noun: 6.332 ms
plane,"[""X-Plane 11 Boeing 737-800 Pilot's Operating Manual Author: Julian Lockwood (julian@x-plane.com)"", 'Setting the Weight, Balance and Fuel in X-Plane .................................................................................... 62 Checklists .................................................................................................................................................... 63', 'Unlike other flight simulators, X-Plane employs a technique called ""blade element theory.', 'When you ""fly"" an airplane in X-Plane, there are no artificial rules in place to govern how the aircraft behaves.', ""Due to the use of 'Blade Element Theory' in X-Plane, an aircraft must be modeled with great accuracy, in order that it behave like its real-life counterpart."", 'However, despite this, some differences will be apparent, because even the smallest factor plays into the ultimate behavior of the aircraft, both in real life, and in X-Plane.', '7 Views and Controls The X-Plane B737-800 features a detailed 3-D cockpit with a great many of the primary controls and systems modeled, including: Flight controls (yoke, rudder pedals, thrust levers, prop levers, condition levers), electrical systems, pneumatic systems, navigation aids, radios, autopilot, interior and exterior lighting, and fuel systems.', 'Levers are operated by assigning a peripheral device to the necessary axes in X-Plane (throttle, prop, mixture etc.).', 'The Yoke / Stick / Joystick is operated by assigning a peripheral device to the ""roll"" and ""pitch"" axes in X-Plane.', 'The Rudder Pedals are operated by assigning a peripheral device to the ""yaw"" axis in X-Plane.', 'If your rudders also support toe braking, create additional assignments to the ""left toe brake"" and ""right toe brake"" axes in X-Plane.', 'To simulate this, assign the lateral axis of your yoke (or joystick) to the ""Roll"" command in X-Plane, and the vertical axis to the ""Pitch"" command.', 'To simulate the thrust levers for a B737-800, assign two levers on your quadrant to the ""Throttle 1"" and ""Throttle 2"" property in X-Plane.', 'To simulate this, assign two levers on your quadrant to the ""Mixture 1"" and ""Mixture 2"" properties in X-Plane. .', 'To simulate this, assign a peripheral lever to the ""Flaps"" property in X-Plane. .', 'To simulate this, assign a peripheral lever to the ""Landing gear"" property in X-Plane. .', 'To simulate this, assign the yaw axis of your pedals peripheral device (or a joystick axis) to the ""yaw"" property in X-Plane.', 'To simulate this, assign the brake ""toe-tipping"" motion of each individual pedal (or a joystick axis) to the ""left toe brake"" and ""right toe brake"" property in X-Plane.', '-29 420 1,000 43,050 44,050 8500 8,500 27,050 60 60 60 1800 1800 34,620 13.6 -29 61  Setting the Weight, Balance and Fuel in X-Plane After calculating your fuel requirements (see Fuel Calculation) and referencing the Load Sheet Tables, you are ready to configure the weight, balance and fuel for your upcoming flight.', 'In X-Plane, a pre-flight inspection is not merely undertaken to simulate reality, but does in fact have real purpose, because the control surfaces of the aircraft interact directly with the airflow over and around them, just as in real life.']",20
737-800 pilot's operating manual author,"[""X-Plane 11 Boeing 737-800 Pilot's Operating Manual Author: Julian Lockwood (julian@x-plane.com)""]",1
julian lockwood,"[""X-Plane 11 Boeing 737-800 Pilot's Operating Manual Author: Julian Lockwood (julian@x-plane.com)""]",1
julian@x-plane.com,"[""X-Plane 11 Boeing 737-800 Pilot's Operating Manual Author: Julian Lockwood (julian@x-plane.com)""]",1
copyright,['Copyright: Laminar Research 2018 Disclaimer'],1
laminar research,['Copyright: Laminar Research 2018 Disclaimer'],1
disclaimer,['Copyright: Laminar Research 2018 Disclaimer'],1
the information,"['The information contained in this document is for simulation use only, within the X-Plane flight simulator.']",1
this document,"['The information contained in this document is for simulation use only, within the X-Plane flight simulator.', 'This document is not subject to revision and has not been checked for accuracy.', 'This document is intended for entertainment only and may not to be used in situations involving real-life aircraft, or real-life aviation.', 'Distribution This document may be copied and distributed by Laminar Research customers and developers, for entertainment.', 'Checklists are presented later in this document (with modifications to suit this specific simulation platform and model).']",5
simulation use,"['The information contained in this document is for simulation use only, within the X-Plane flight simulator.']",1
the x-plane flight simulator,"['The information contained in this document is for simulation use only, within the X-Plane flight simulator.']",1
revision,['This document is not subject to revision and has not been checked for accuracy.'],1
accuracy,"['This document is not subject to revision and has not been checked for accuracy.', 'The 737-800 featured in X-Plane-11 has been modeled by our design team with a degree of accuracy that ensures its flight characteristics are like the real aircraft.']",2
entertainment,"['This document is intended for entertainment only and may not to be used in situations involving real-life aircraft, or real-life aviation.', 'Distribution This document may be copied and distributed by Laminar Research customers and developers, for entertainment.']",2
situation,"['This document is intended for entertainment only and may not to be used in situations involving real-life aircraft, or real-life aviation.', 'Guarded switches are used in situations where accidental activation of the switch must be prevented.', '37 Center Panel Multi-Function Panel The N1 SET rotary controls the maximum throttle setting (as a percentage of N1) that may be used by the auto-throttle in TOGA (Take-Off and Go Around) situations.']",3
real-life aircraft,"['This document is intended for entertainment only and may not to be used in situations involving real-life aircraft, or real-life aviation.']",1
real-life aviation,"['This document is intended for entertainment only and may not to be used in situations involving real-life aircraft, or real-life aviation.']",1
distribution,"['Distribution This document may be copied and distributed by Laminar Research customers and developers, for entertainment.']",1
laminar research customer,"['Distribution This document may be copied and distributed by Laminar Research customers and developers, for entertainment.']",1
developer,"['Distribution This document may be copied and distributed by Laminar Research customers and developers, for entertainment.']",1
