Game types and genres_nouns.csv
Unique nouns: 144,Total nouns: 180
Total time: 1.596 sec,Cost per noun: 8.869 ms
game type,"['Game Type and Game Genre', 'By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.', 'When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'The following is brief list of game types:', 'Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']",5
game genre,"['Game Type and Game Genre', 'By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.', 'When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'The following is a list of game genres.', 'Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']",5
lindsay grace game type,"['By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1
the industry,"['By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1
a distinct difference,"['By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1
video game,"['By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1
game story,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",1
we,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",1
a description,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",2
game play,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'Characters tend to be rich, game play is long, and character management is technical in RPGs.']",2
the narrative content,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",1
the game,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",1
brief list,['The following is brief list of game types:'],1
action,['Action: Games that offer intensity of action as the primary attraction.'],2
game,"['Action: Games that offer intensity of action as the primary attraction.', 'Games that offer exploration and puzzle solving as the main attraction.', 'Puzzle: Games that offer puzzles as the primary attraction to games.', ""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation."", 'Games such as Command and Conquer are examples of story based strategy games.', 'This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.']",7
intensity,['Action: Games that offer intensity of action as the primary attraction.'],1
the primary attraction,"['Action: Games that offer intensity of action as the primary attraction.', 'Puzzle: Games that offer puzzles as the primary attraction to games.']",2
reflex response,['Reflex response is the primary skill needed to play these games well.'],1
the primary skill,['Reflex response is the primary skill needed to play these games well.'],1
these game,"['Reflex response is the primary skill needed to play these games well.', 'These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.', 'These games are most commonly released on low budgets via the web.', 'The people who play these games tend be the oldest population of the game playing community.']",4
the most common action game,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1
shooter,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1
doom,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1
stealth,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1
metal gear,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1
action game,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1
most sport title,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1
some sport title,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1
the category,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1
simulation,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.', 'Simulation: The primary game play element of a simulation is its ability to match real world situations.', 'Simulations seek to provide enjoyment through reenactment.', 'Simulations may also include social situation simulation such as Sims and Leisure Suit Larry1.']",4
adventure,['Adventure:'],1
exploration,['Games that offer exploration and puzzle solving as the main attraction.'],1
puzzle,"['Games that offer exploration and puzzle solving as the main attraction.', 'Puzzle: Games that offer puzzles as the primary attraction to games.']",3
the main attraction,['Games that offer exploration and puzzle solving as the main attraction.'],1
the most engrossing story,"['These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.']",1
their popularity,"['These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.']",1
the last 2 decade,"['These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.']",1
reasoning,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.', 'Strategy games entertain through reasoning and problem solving.']",2
creativity,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1
curiosity,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1
the most common skill,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1
a good adventure game player,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1
pioneer adventure game,['Pioneer adventure games include Myst and Syberia.'],1
myst,['Pioneer adventure games include Myst and Syberia.'],1
syberia,['Pioneer adventure games include Myst and Syberia.'],1
low budget,['These games are most commonly released on low budgets via the web.'],1
the web,['These games are most commonly released on low budgets via the web.'],1
the people,['The people who play these games tend be the oldest population of the game playing community.'],1
who,['The people who play these games tend be the oldest population of the game playing community.'],1
the old population,['The people who play these games tend be the oldest population of the game playing community.'],1
the game play community,['The people who play these games tend be the oldest population of the game playing community.'],1
the most successful puzzle game,"['One of the most successful puzzle games is the famed Tetris, Lemmings and Minesweeper.']",1
