a comprehensive list,"[['Game types and genres', ['This is not a comprehensive list.']]]",1,1,t1
"a crime, fantasy genre","[['Game types and genres', ['The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']]]",1,1,t1
a description,"[['Game types and genres', ['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']]]",2,2,t1
a distinct difference,"[['Game types and genres', ['By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']]]",1,1,t2
a game genre,"[['Game types and genres', ['There could be, for example, a game genre for romance or history, but these are not listed here.']]]",1,1,t2
a genre,"[['Game types and genres', ['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']]]",1,1,t2
a good adventure game player,"[['Game types and genres', ['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']]]",1,1
a list,"[['Game types and genres', ['The following is a list of game genres.']]]",1,1
a narrative style,"[['Game types and genres', ['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']]]",1,1
a simulation,"[['Game types and genres', ['Simulation: The primary game play element of a simulation is its ability to match real world situations.', 'Larry does not ""match real world situations"" but it is still a simulation.']]]",2,2
a single category,"[['Game types and genres', ['Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']]]",1,1
a thoroughly entertaining collection,"[['Game types and genres', ['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.']]]",1,1
action,"[['Game types and genres', ['Action: Games that offer intensity of action as the primary attraction.']]]",2,2
action game,"[['Game types and genres', ['Action games also include most sports titles, although some sports titles fall into the category of simulation.']]]",1,1
adventure,"[['Game types and genres', ['Adventure:']]]",1,1
all world,"[['Game types and genres', ['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.']]]",1,1
"an action, role-playing game type","[['Game types and genres', ['The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']]]",1,1
an explanation,"[['Game types and genres', ['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']]]",1,1
an object,"[['Game types and genres', ['This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.']]]",1,1
an opportunity,"[['Game types and genres', [""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]]]",1,1
another interesting puzzle game,"[['Game types and genres', ['Intelligent Cube was another interesting puzzle game of limited success.']]]",1,1
anyone,"[['Game types and genres', ['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']]]",1,1
baldour's gate,"[['Game types and genres', [""Famous RPGs include, Baldour's Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]]]",1,1
brief list,"[['Game types and genres', ['The following is brief list of game types:']]]",1,1
character,"[['Game types and genres', ['Characters tend to be rich, game play is long, and character management is technical in RPGs.', 'A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']]]",2,2
character management,"[['Game types and genres', ['Characters tend to be rich, game play is long, and character management is technical in RPGs.']]]",1,1
combat simulation,"[['Game types and genres', ['Combat simulations and racecar simulations are relatively popular in this game type.']]]",1,1
command,"[['Game types and genres', ['Games such as Command and Conquer are examples of story based strategy games.']]]",1,1
conquer,"[['Game types and genres', ['Games such as Command and Conquer are examples of story based strategy games.']]]",1,1
convention,"[['Game types and genres', ['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.']]]",1,1
creativity,"[['Game types and genres', ['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']]]",1,1
curiosity,"[['Game types and genres', ['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']]]",1,1
doom,"[['Game types and genres', ['The most common action games are shooters (Doom) and stealth (Metal Gear).']]]",1,1
e.g. civilization,"[['Game types and genres', ['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']]]",1,1
early strategy game,"[['Game types and genres', ['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']]]",1,1
element,"[['Game types and genres', ['Simulation: The primary game play element of a simulation is its ability to match real world situations.']]]",1,1
enjoyment,"[['Game types and genres', ['Simulations seek to provide enjoyment through reenactment.']]]",1,1
"espionage metal gear solid, ghost recon western/eastern/frontier red","[['Game types and genres', ['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']]]",1,1
example,"[['Game types and genres', ['Games such as Command and Conquer are examples of story based strategy games.', 'There could be, for example, a game genre for romance or history, but these are not listed here.', 'The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']]]",3,3
exploration,"[['Game types and genres', ['Games that offer exploration and puzzle solving as the main attraction.']]]",1,1
fable horror resident evil mystery indigo prophecy science fiction doom,"[['Game types and genres', ['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']]]",1,1
famous rpgs,"[['Game types and genres', [""Famous RPGs include, Baldour's Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]]]",1,1
few modern game,"[['Game types and genres', ['Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']]]",1,1
film,"[['Game types and genres', [""The genre's roughly translate to the genres of film and television.""]]]",1,1
game,"[['Game types and genres', ['Action: Games that offer intensity of action as the primary attraction.', 'Games that offer exploration and puzzle solving as the main attraction.', 'Puzzle: Games that offer puzzles as the primary attraction to games.', ""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation."", 'Games such as Command and Conquer are examples of story based strategy games.', 'This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.']]]",7,7
game genre,"[['Game types and genres', ['Game Type and Game Genre', 'By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.', 'When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'The following is a list of game genres.', 'Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']]]",5,5
game mechanic,"[['Game types and genres', ['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.']]]",1,1
game play,"[['Game types and genres', ['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'Characters tend to be rich, game play is long, and character management is technical in RPGs.']]]",2,2
game story,"[['Game types and genres', ['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']]]",1,1
game type,"[['Game types and genres', ['Game Type and Game Genre', 'By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.', 'When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'The following is brief list of game types:', 'Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']]]",5,5
