777,"[['document', ['PAGE 1 Boeing 777-200ER Aircraft Operating Manual Applying schedules, time of day demands and competitive strength to a Boeing flight selection model, it is estimated that flying 777s instead of A340s would result in a revenue advantage of $18 million per airplane (10 percent net present value) for a typical airline.']]]",1,1,asdasd
""" approach "" checklist","[['document', ['(cid:131) Execute ""Approach"" Checklist.']]]",1,1,asdasd
""" big twin "" aircraft","[['document', ['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.']]]",1,1,asdasd
""" parking "" checklist","[['document', ['(cid:131) Execute ""Parking"" Checklist.']]]",1,1,asdasd
) execute,"[['document', ['Obtain clearance from Delivery (cid:131) Execute ""']]]",1,1,asdasd
+15,"[['document', ['Maintain pitch angle to achieve IAS V +15. 2(cid:131)']]]",1,1
", retract flap","[['document', ['At 210 KIAS, retract flaps.']]]",1,1
", then 500-1000 foot/min","[['document', [""First hour's fuel is calculated with a 250 KIAS climb below 10,000 feet MSL, cruise climb above 10,000 feet MSL at 2,000 feet/min to FL240, then at 1,500 feet/min to FL270, then 500-1000 feet/min to cruise altitude.""]]]",1,1
................................................................................. 1 engine type,"[['document', ['Aircraft History and Background .................................................................................1 Engine Types.............................................................................................................']]]",1,1
........................................................................................ 4 flight deck,"[['document', ['........................................................................................4 Flight Deck................................................................................................................5']]]",1,1
............................................................................................ 3 general electric ge90,"[['document', ['3 Rolls-Royce Trent 800............................................................................................3 General Electric GE90.............................................................................................3 Pratt & Whitney PW4090']]]",1,1
...................................................................................................... 7 capacity,"[['document', ['Design Weights......................................................................................................7 Capacity................................................................................................................7']]]",1,1
/d,"[['document', [""(cid:131) Descent before 100nm may increase fuel, however T/D is at pilot's discretion.""]]]",1,1
/nm,"[['document', ['777-200ER Range 7,730 nm Fuel Burn Rate Factor 22.0 lbs/nm Fuel Base']]]",1,1
1 and 3 degree,"[['document', ['LANDING (cid:131) Maintain pitch angle between 1 and 3 degrees at flare.']]]",1,1
"1,500 foot","[['document', ['At 1,500 feet AGL lower nose to 10 degrees and continue with the take off procedure for cleaning the aircraft up.']]]",1,1
"1,500 foot/min","[['document', [""First hour's fuel is calculated with a 250 KIAS climb below 10,000 feet MSL, cruise climb above 10,000 feet MSL at 2,000 feet/min to FL240, then at 1,500 feet/min to FL270, then 500-1000 feet/min to cruise altitude.""]]]",1,1
10 degree,"[['document', ['At acceleration height, lower the nose to 10 degrees to accelerate the aircraft and set flaps 1\\xc2\\xb0.', 'At 1,500 feet AGL lower nose to 10 degrees and continue with the take off procedure for cleaning the aircraft up.']]]",2,2
"10 foot "" callout","[['document', ['Retard throttle at ""10 feet"" callout.']]]",1,1
10 fuel consumption,"[['document', ['7 Field Lengths.........................................................................................................8 Range...................................................................................................................9 Speeds..................................................................................................................9 Altitudes..............................................................................................................10 Fuel Consumption....................................................................................................']]]",1,1
