document_nouns.csv
Unique nouns: 1014,Total nouns: 1427
Total time: 5.669 sec,Cost per noun: 3.973 ms
delta virtual airline,"['DELTA VIRTUAL AIRLINES BOEING 777-200ER AIRCRAFT OPERATING MANUAL THIRD EDITION NOVEMBER 2005 TABLE OF CONTENTS Table of Contents......................................................................................................2', 'For Delta Virtual Airlines, these procedures are for the benefit of the pilots using this manual.', 'Delta Virtual Airlines is not in anyway affiliated with Delta Air Lines or any of its subsidiaries.', 'The authors grant unlimited rights to Delta Virtual Airlines for modifications and electronic distribution.', 'This manual is designed for use by Delta Virtual Airlines as reference material for flight simulator pilots operating the Boeing 777-200ER aircraft.']",5
777-200er aircraft operating manual third edition november 2005 table,['DELTA VIRTUAL AIRLINES BOEING 777-200ER AIRCRAFT OPERATING MANUAL THIRD EDITION NOVEMBER 2005 TABLE OF CONTENTS Table of Contents......................................................................................................2'],1
content table,['DELTA VIRTUAL AIRLINES BOEING 777-200ER AIRCRAFT OPERATING MANUAL THIRD EDITION NOVEMBER 2005 TABLE OF CONTENTS Table of Contents......................................................................................................2'],1
content,['DELTA VIRTUAL AIRLINES BOEING 777-200ER AIRCRAFT OPERATING MANUAL THIRD EDITION NOVEMBER 2005 TABLE OF CONTENTS Table of Contents......................................................................................................2'],1
aircraft history,['Aircraft History and Background .................................................................................1 Engine Types.............................................................................................................'],1
background,"['Aircraft History and Background .................................................................................1 Engine Types.............................................................................................................', 'Boeing 777-200ER Aircraft Operating Manual AIRCRAFT HISTORY AND BACKGROUND']",2
................................................................................. 1 engine type,['Aircraft History and Background .................................................................................1 Engine Types.............................................................................................................'],1
3 roll-royce trent,['3 Rolls-Royce Trent 800............................................................................................3 General Electric GE90.............................................................................................3 Pratt & Whitney PW4090'],1
............................................................................................ 3 general electric ge90,['3 Rolls-Royce Trent 800............................................................................................3 General Electric GE90.............................................................................................3 Pratt & Whitney PW4090'],1
3 pratt,['3 Rolls-Royce Trent 800............................................................................................3 General Electric GE90.............................................................................................3 Pratt & Whitney PW4090'],1
whitney,"['3 Rolls-Royce Trent 800............................................................................................3 General Electric GE90.............................................................................................3 Pratt & Whitney PW4090', ""Delta uses the Rolls-Royce Trents, Air France uses the GE's, and Korean uses the Pratt and Whitney's."", 'PRATT & WHITNEY PW4090', 'This manual makes no claim to represent Boeing, Rolls Royce, General Electric, Pratt & Whitney, Microsoft, Delta Air Lines, Melvin Rafi or any other party involved.']",4
pw4090,"['3 Rolls-Royce Trent 800............................................................................................3 General Electric GE90.............................................................................................3 Pratt & Whitney PW4090', 'PRATT & WHITNEY PW4090']",2
........................................................................................ 4 flight deck,['........................................................................................4 Flight Deck................................................................................................................5'],1
aircraft specification,['Aircraft Specifications.................................................................................................7 Aircraft Dimensions................................................................................................7'],1
7 aircraft dimension,['Aircraft Specifications.................................................................................................7 Aircraft Dimensions................................................................................................7'],1
design weight,['Design Weights......................................................................................................7 Capacity................................................................................................................7'],1
...................................................................................................... 7 capacity,['Design Weights......................................................................................................7 Capacity................................................................................................................7'],1
power plant,['Power Plants..........................................................................................................'],1
8 range,['7 Field Lengths.........................................................................................................8 Range...................................................................................................................9 Speeds..................................................................................................................9 Altitudes..............................................................................................................10 Fuel Consumption....................................................................................................'],1
9 altitude,['7 Field Lengths.........................................................................................................8 Range...................................................................................................................9 Speeds..................................................................................................................9 Altitudes..............................................................................................................10 Fuel Consumption....................................................................................................'],1
10 fuel consumption,['7 Field Lengths.........................................................................................................8 Range...................................................................................................................9 Speeds..................................................................................................................9 Altitudes..............................................................................................................10 Fuel Consumption....................................................................................................'],1
11 recommend equipment,['11 Recommended Equipment........................................................................................13'],1
delta virtual airline standard operating procedure,"['Delta Virtual Airlines Standard Operating Procedures.................................................13', 'DELTA VIRTUAL AIRLINES STANDARD OPERATING PROCEDURES']",2
