syllabus437_nouns.csv
Unique nouns: 396,Total nouns: 485
Total time: 2.346 sec,Cost per noun: 4.836 ms
introduction,"[' Introduction to Machine Learning CptS 437 Spring 2022 Monday / Wednesday / Friday, 10:10-11:00, Sloan 175 Course Overview Machine learning is the study of computer algorithms and models that learn automatically from data.']",1
machine learning,"[' Introduction to Machine Learning CptS 437 Spring 2022 Monday / Wednesday / Friday, 10:10-11:00, Sloan 175 Course Overview Machine learning is the study of computer algorithms and models that learn automatically from data.', 'This introductory course covers key topics in machine learning, including linear models for regression and classification, decision trees, support vector machines and kernel methods, neural networks and deep learning, ensemble methods, unsupervised learning and dimension reduction.', 'Hal Daum\\xc3\\xa9, A Course in Machine Learning, 2017.']",3
sloan 175 course overview machine learning,"[' Introduction to Machine Learning CptS 437 Spring 2022 Monday / Wednesday / Friday, 10:10-11:00, Sloan 175 Course Overview Machine learning is the study of computer algorithms and models that learn automatically from data.']",1
the study,"[' Introduction to Machine Learning CptS 437 Spring 2022 Monday / Wednesday / Friday, 10:10-11:00, Sloan 175 Course Overview Machine learning is the study of computer algorithms and models that learn automatically from data.']",1
computer algorithm,"[' Introduction to Machine Learning CptS 437 Spring 2022 Monday / Wednesday / Friday, 10:10-11:00, Sloan 175 Course Overview Machine learning is the study of computer algorithms and models that learn automatically from data.']",1
model,"[' Introduction to Machine Learning CptS 437 Spring 2022 Monday / Wednesday / Friday, 10:10-11:00, Sloan 175 Course Overview Machine learning is the study of computer algorithms and models that learn automatically from data.']",1
datum,"[' Introduction to Machine Learning CptS 437 Spring 2022 Monday / Wednesday / Friday, 10:10-11:00, Sloan 175 Course Overview Machine learning is the study of computer algorithms and models that learn automatically from data.', 'The homework assignments will expose you to the machine learning methods we discuss in class and data from a diversity of applications that illustrate how the methods can be used.']",2
it,"['It is a key area of artificial intelligence and has applications in many domains, including biology, social science, statistics, and image processing.', 'Provide a link to working code with instructions on running it and/or a video demonstrating how to run the code with updated project results (worth 40 points of the project grade - the remaining 20 points are assigned based on project scope and completeness).', 'Canvas will give you 80 minutes to complete the exam and you should start it no later than 10:30am on the exam date.', 'It is highly recommended that you visit this web site as well as the University emergency management web site at http://oem.wsu.edu/ to become familiar with the information.']",4
a key area,"['It is a key area of artificial intelligence and has applications in many domains, including biology, social science, statistics, and image processing.']",1
artificial intelligence,"['It is a key area of artificial intelligence and has applications in many domains, including biology, social science, statistics, and image processing.']",1
application,"['It is a key area of artificial intelligence and has applications in many domains, including biology, social science, statistics, and image processing.', 'The homework assignments will expose you to the machine learning methods we discuss in class and data from a diversity of applications that illustrate how the methods can be used.', 'Each project will include implementation of a machine learning technique not described in class or enhancement of a described technique, with application to a real-world dataset or problem.', 'The proposal should include a brief problem statement, proposed methods, novelty of the technique beyond what was discussed in class, application, and evaluation.']",4
many domain,"['It is a key area of artificial intelligence and has applications in many domains, including biology, social science, statistics, and image processing.']",1
biology,"['It is a key area of artificial intelligence and has applications in many domains, including biology, social science, statistics, and image processing.']",1
