Alpha_Prototype_Report_template_nouns.csv
Unique nouns: 222, Total nouns: 281
Total time: 1.109 sec,Cost per noun: 3.947 ms
your project title ' project alpha prototype report,"[""Your Project Title' Project Alpha Prototype Report' ' '""]",1
your sponsor,"[""Your Sponsor' '""]",1
sponsor logo,"[""Sponsor logo (if any)' ' ' ' '""]",1
your team name,"[""Your Team Name & Team Logo' (Provide a list of team members)'""]",1
team logo,"[""Your Team Name & Team Logo' (Provide a list of team members)'""]",1
a list,"[""Your Team Name & Team Logo' (Provide a list of team members)'""]",1
team member,"[""Your Team Name & Team Logo' (Provide a list of team members)'""]",1
[ date,"[""[Date]' '""]",1
5 page text,"[""Assignment Notes ' Length = minimum of 5 pages text + appendices as needed - though, this should be *MUCH* longer than 5 pages if you leverage all of your prior documentsSections that do not count to content for page limit:' Cover page' table of contents' pictures' tables' images' diagrams' Posted as a single self-contained file (no links to outside resources.)'""]",1
appendix,"[""Assignment Notes ' Length = minimum of 5 pages text + appendices as needed - though, this should be *MUCH* longer than 5 pages if you leverage all of your prior documentsSections that do not count to content for page limit:' Cover page' table of contents' pictures' tables' images' diagrams' Posted as a single self-contained file (no links to outside resources.)'"", ""Appendices' As needed, copy over your appendices for the various sections."", ""Appendix n'""]",3
much,"[""Assignment Notes ' Length = minimum of 5 pages text + appendices as needed - though, this should be *MUCH* longer than 5 pages if you leverage all of your prior documentsSections that do not count to content for page limit:' Cover page' table of contents' pictures' tables' images' diagrams' Posted as a single self-contained file (no links to outside resources.)'""]",1
