Facet Analysis of Video Game Genres_nouns.csv
Unique nouns: 1316,Total nouns: 1952
Total time: 4.076 sec,Cost per noun: 2.088 ms
facet analysis,"['Facet Analysis of Video Game GenresJin Ha Lee1, Natascha Karlova1, Rachel Ivy Clarke1, Katherine Thornton1 and Andrew Perti21 University of Washington, Information School2', 'As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.', 'Facet analysis is the process of examining a subject field and dividing it into fundamental categories, each of which represents an essential characteristic of division of the subject field (Spiteri, 1997).', 'Study DesignMethodWe employed the method of facet analysis to tease out the different types of information that are represented in current video genre labels.', 'Facet analysis is based upon two processes (Ranganathan, 1967; Spiteri, 1997):Analysis, whereby a subject field is divided into fundamental categories, each of which represents an essential characteristic of division of the subject field;Synthesis, whereby individual concepts from these categories may be combined to express compound subjects (Spiteri, 1997 p.21)Broughton (2008) asserts that ""facet analysis is the only means of organizing the concepts in a subject domain that has a logical and intellectual basis (p.193).', '"" Many systems are built after facet analysis has been conducted, but the analysis method itself is rarely discussed in detail.', 'Broughton and Slavic (2007) outline their application of facet analysis for the creation of a faceted classification for humanities resources.', 'Gnoli and Hong (2006) discuss their application of facet analysis in their description of developing the Integrative Level Classification.', 'By employing facet analysis, we attempted to create a conceptual map of a subject field: video game genres.', 'Our process of facet analysis is summarized in Figure 1.Process of Developing Facets and Foci: AnalysisFor the Analysis part, we started by conducting a domain analysis of how genre labels are currently being used in the video game community.', 'The term ""foci"" is commonly used to refer to indexing terms in facet analysis (Spiteri, 1998).', 'Through the method of facet analysis, it is possible to ascertain and represent the different types of information embedded in current video game genre labels in a flexible and extensible way.', 'The use of facet analysis in information retrieval thesauri: An examination of selected guidelines for thesaurus construction.', 'A simplified model for facet analysis.']",15
video game genresjin,"['Facet Analysis of Video Game GenresJin Ha Lee1, Natascha Karlova1, Rachel Ivy Clarke1, Katherine Thornton1 and Andrew Perti21 University of Washington, Information School2']",1
lee1,"['Facet Analysis of Video Game GenresJin Ha Lee1, Natascha Karlova1, Rachel Ivy Clarke1, Katherine Thornton1 and Andrew Perti21 University of Washington, Information School2']",1
", natascha karlova1","['Facet Analysis of Video Game GenresJin Ha Lee1, Natascha Karlova1, Rachel Ivy Clarke1, Katherine Thornton1 and Andrew Perti21 University of Washington, Information School2']",1
rachel ivy clarke1,"['Facet Analysis of Video Game GenresJin Ha Lee1, Natascha Karlova1, Rachel Ivy Clarke1, Katherine Thornton1 and Andrew Perti21 University of Washington, Information School2']",1
katherine thornton1,"['Facet Analysis of Video Game GenresJin Ha Lee1, Natascha Karlova1, Rachel Ivy Clarke1, Katherine Thornton1 and Andrew Perti21 University of Washington, Information School2']",1
andrew perti21 university,"['Facet Analysis of Video Game GenresJin Ha Lee1, Natascha Karlova1, Rachel Ivy Clarke1, Katherine Thornton1 and Andrew Perti21 University of Washington, Information School2']",1
washington,"['Facet Analysis of Video Game GenresJin Ha Lee1, Natascha Karlova1, Rachel Ivy Clarke1, Katherine Thornton1 and Andrew Perti21 University of Washington, Information School2']",1
information school2,"['Facet Analysis of Video Game GenresJin Ha Lee1, Natascha Karlova1, Rachel Ivy Clarke1, Katherine Thornton1 and Andrew Perti21 University of Washington, Information School2']",1
seattle interactive medium museumintroductionas video game,"['Seattle Interactive Media MuseumIntroductionAs video games increase in popularity, users expect efficient and intelligent access to them, similar to their access to other media.']",1
popularity,"['Seattle Interactive Media MuseumIntroductionAs video games increase in popularity, users expect efficient and intelligent access to them, similar to their access to other media.']",1
