Genre_00_nouns.csv
Unique nouns: 131, Total nouns: 276
Total time: Uncomputed,Cost per noun: Uncomputed
î˜,['\xa0 î˜'],1
´,['´\n\nBy Deirdre 14'],1
deirdre,['´\n\nBy Deirdre 14'],1
sep,"['Sep 2018\n\nWe all have different personality types, and so different people will enjoy different types of games.']",1
personality,"['Sep 2018\n\nWe all have different personality types, and so different people will enjoy different types of games.']",1
type,"['Sep 2018\n\nWe all have different personality types, and so different people will enjoy different types of games.', 'Understanding what type of game we enjoy playing will contribute to understanding which learning styles and methods suit us best, and have the best impact on our self-development and learning.', 'I have used a simple framework of 5 game types which each drive different learning outcomes.', 'These 5 game types are simulation, adventure, role-play, strategy, and quiz.', 'These types of games include a series of smaller problems and/or gathering of information to reach an ultimate goal or objective.']",6
people,"['Sep 2018\n\nWe all have different personality types, and so different people will enjoy different types of games.']",1
game,"['Sep 2018\n\nWe all have different personality types, and so different people will enjoy different types of games.', 'Can you think of a game you most enjoy playing?', 'Do you know what category this game would fall under?', 'Understanding what type of game we enjoy playing will contribute to understanding which learning styles and methods suit us best, and have the best impact on our self-development and learning.', '\n\nGames are a powerful catalyst in driving personal progress, stimulation and development of cognitive ability.', 'Games are fast becoming one of the major influences in organizations in the reshaping of business designs, and training.', 'For a number of years, I have designed games for organizational learning and development initiatives.', 'I have used a simple framework of 5 game types which each drive different learning outcomes.', 'These 5 game types are simulation, adventure, role-play, strategy, and quiz.', 'These are games which closely simulate the real world with scenarios and a decision architecture, to explore the key elements of a situation.', 'Game simulations usually simplify and provide immersive experience for players.', '\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', '\n\nExamples of simulation games are:\n\nBusiness: Simulations allow for systems and business models to be experienced.', 'Flight Simulators\n\nAdventure games are set-up as a single player format (*protagonist) in an interactive story with a series of puzzles and problem-solving tasks.', 'Players usually unlock the game piece by piece.', 'These types of games include a series of smaller problems and/or gathering of information to reach an ultimate goal or objective.', '\n\nAdventure games seek to achieve:\n\nDevelopment of reasoning and problem-solving skills\n\nDevelopment of lateral and cognitive thinking skills\n\nApplication of extrinsic knowledge to solve problems and puzzles\n\nExamples of adventure games are:\n\nBusiness: Amazing Race\n\nEntertainment: Escape Room, video games (excluding action)', 'In role-play games, players assume a particular role and interact with other characters.', 'Role-play games allow for scenario-based concepts with certain behaviours to be demonstrated and decisions to be made.', 'In the virtual world Role Play Games (RPG) are the foundation of the PC game, and with increased technology these have become more sophisticated.', 'Role-play games seek to achieve:', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.', ""Players' decisions are uncoerced and a game can be won based on decisions made."", '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.', '\n\nQuiz games seek to achieve:\n\nTesting of knowledge and content\n\nExamples of quiz games are:\n\nEntertainment: Quizup, Trivial Pursuit']",32
category,['Do you know what category this game would fall under?'],1
understanding,"['Understanding what type of game we enjoy playing will contribute to understanding which learning styles and methods suit us best, and have the best impact on our self-development and learning.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",2
style,"['Understanding what type of game we enjoy playing will contribute to understanding which learning styles and methods suit us best, and have the best impact on our self-development and learning.']",1
method,"['Understanding what type of game we enjoy playing will contribute to understanding which learning styles and methods suit us best, and have the best impact on our self-development and learning.']",1
impact,"['Understanding what type of game we enjoy playing will contribute to understanding which learning styles and methods suit us best, and have the best impact on our self-development and learning.']",1
self,"['Understanding what type of game we enjoy playing will contribute to understanding which learning styles and methods suit us best, and have the best impact on our self-development and learning.']",1
development,"['Understanding what type of game we enjoy playing will contribute to understanding which learning styles and methods suit us best, and have the best impact on our self-development and learning.', '\n\nGames are a powerful catalyst in driving personal progress, stimulation and development of cognitive ability.', 'For a number of years, I have designed games for organizational learning and development initiatives.', '\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'to be combined for learning and development of skill sets.', '\n\nAdventure games seek to achieve:\n\nDevelopment of reasoning and problem-solving skills\n\nDevelopment of lateral and cognitive thinking skills\n\nApplication of extrinsic knowledge to solve problems and puzzles\n\nExamples of adventure games are:\n\nBusiness: Amazing Race\n\nEntertainment: Escape Room, video games (excluding action)', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.']",11
learning,"['Understanding what type of game we enjoy playing will contribute to understanding which learning styles and methods suit us best, and have the best impact on our self-development and learning.', 'For a number of years, I have designed games for organizational learning and development initiatives.', 'I have used a simple framework of 5 game types which each drive different learning outcomes.', 'These can be applied in learning, teamwork, and promoting different thinking perspectives.', 'to be combined for learning and development of skill sets.']",5
