Genres_01_nouns.csv
Unique nouns: 255, Total nouns: 609
Total time: Uncomputed,Cost per noun: Uncomputed
game,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.', 'Some examples of game genres would include ""action"", ""adventure"" ""simulation"" and ""shooter"".', 'There are a lot of problems that occur due to different game genres.', 'An introduction to Genre, Problems with specific game genres, Personalities and Gender preferences, and Difficulties grouping game genres will be discussed in this chapter.', '\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.', 'Games with the same mechanics and the same styles of gameplay would be put into one genre.', 'It is mostly to categorize them for the consumer to know what they like and will buy similar games.', '""The game genre is ""a recurring type or category of text [...] defined by structural, thematic and /or functional criteria"".', 'All games fit into one or more genres.', 'Qaffas (2020) states out of all the popular games in the last 34 years there are only 16 genres that sit in the top spots.', '\n\nProblems with specific game genres', 'Although genres make it easier to find similar games to the ones you like, there are some genres that have problematic characteristics attached to them.', 'Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.', 'The games that fall into the problematic genres tend to be very addictive as when playing the games a lot of dopamine is released when playing games.', 'Out of all the genres MMORPG games are being more popular and a lot more addictive.', 'Internet gaming disorder is when a person loses control over their gaming habits and puts the priority on playing games rather than other important things in their lives.', '""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""', '\n\nPersonalities and Gender genre preferences\n\nResearch has shown a preference to particular game genres based on personality and gender. ""', 'Thus, it could be assumed that being male and being younger goes along with the preference for certain game genres, which themselves are more time consuming and demanding and thus can explain the higher gaming time.""', 'For example, people with the personality type ""extraversion"" tend to prefer party, music and casual games', '""For extraversion, there was a significant overall effect of genre, with party, Â\xa0music and casual games significantly positively related to extraversion scores.""', 'According to Rehbein, F., Staudt, A., Hanslmaier, M. & Kliem, S. (2016) ""The higher gaming time of men is fully accounted for by the male-specific preference for certain game genres.', '"" They discovered that males tend to prefer role-playing games, adventure games and sports games (along with others).', 'Whereas the only one women tended to prefer was brain and skill games.', 'There are also some difficulties when it comes to grouping games into genres.', 'There are so many genres and yet a lot of games will fall into the categories of having multiple genres attached.', '""The existing common video game genres lack clarity as well as consistency"" (Heintz, S. & Law, E.L. 2015).', ""Video games aren't clearly defined in these genres and there is no set relation or because there is no set relation."", 'There is also an issue with a game having different genres depending on where you look.', 'Different papers suggest many ways to fix these problems, these include having developed a new way of putting games into new and improved genre categories.', 'One new method is called GEAM which stands for Game Elements-Attributes Model.', 'They are ""resource"", ""mini-game"", ""adventure"", ""action"" and ""role-playing"".', 'Another suggestion was to use a type of map to group games so if they fall under different categories they go in certain spots of the map.', 'You could end up with two very different games beside each other but due to having similar mechanics, they would fall under the same genre.', 'In this chapter,Â\xa0we discussed difficulties with genre groupings, personalities and gender genre preferences, problems with specific game genres and a short introduction into the world of genres.', '57-68\n\nElliott, L., Golub, A., Ream, G. & Dunlap, E. (2012) Â\xa0Video Game Genre as a Predictor of Problem Use.', 'The Game Genre Map: A Revised Game Classification.', 'Â\xa0Exploring how Preference and Perceived Performance Vary in Different Game Genres Across Time of Day.', 'Â\xa0Mapping the Mental Space of Game Genres.', 'The Influence of Game Genre on Internet Gaming Disorder.', 'Â\xa0Personality & Video Game Genre Preferences.', 'Video Game Playing in the General Adult Population of Germany: Can Higher Gaming Time of Males be Explained by Gender-Specific Genre Preferences?']",52
genres,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.', '\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.', 'Â\xa0Exploring how Preference and Perceived Performance Vary in Different Game Genres Across Time of Day.', 'Â\xa0Mapping the Mental Space of Game Genres.', ""An Operational Study of Video Games' Genres.""]",5
megan,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.', 'Â\xa0Author\n\nMegan Kelly is a second-year student studying Creative Digital Media at the Technological University Dublin.', 'Megan is 22 years old and is from a small village in County Roscommon.', 'Megan has a passion for photography and music, she loves going to live music events.']",4
kelly,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.', 'Â\xa0Author\n\nMegan Kelly is a second-year student studying Creative Digital Media at the Technological University Dublin.']",2
genre,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.', 'Some examples of game genres would include ""action"", ""adventure"" ""simulation"" and ""shooter"".', ""The topic of Genre is very big and there's a lot involved in it."", 'There are a lot of problems that occur due to different game genres.', 'An introduction to Genre, Problems with specific game genres, Personalities and Gender preferences, and Difficulties grouping game genres will be discussed in this chapter.', '\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.', 'Games with the same mechanics and the same styles of gameplay would be put into one genre.', '""The game genre is ""a recurring type or category of text [...] defined by structural, thematic and /or functional criteria"".', 'All games fit into one or more genres.', 'Qaffas (2020) states out of all the popular games in the last 34 years there are only 16 genres that sit in the top spots.', 'Some examples of these genres would be ""shooter"", ""platform"" and ""puzzle.""', '\n\nProblems with specific game genres', 'Although genres make it easier to find similar games to the ones you like, there are some genres that have problematic characteristics attached to them.', 'Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.', 'The games that fall into the problematic genres tend to be very addictive as when playing the games a lot of dopamine is released when playing games.', 'Out of all the genres MMORPG games are being more popular and a lot more addictive.', '""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""', '\n\nPersonalities and Gender genre preferences\n\nResearch has shown a preference to particular game genres based on personality and gender. ""', 'Thus, it could be assumed that being male and being younger goes along with the preference for certain game genres, which themselves are more time consuming and demanding and thus can explain the higher gaming time.""', '(Rehbein, F., Staudt, A., Hanslmaier, M. & Kliem, S. (2016).Â\xa0 Peever, N., Johnson, D. & Gardner, J. (2012) Â\xa0said that there are different personality types and each is more likely to like a certain type of genre.', '""For extraversion, there was a significant overall effect of genre, with party, Â\xa0music and casual games significantly positively related to extraversion scores.""', 'Then, when it comes to gender it is said males are most likely to have a higher gaming time due to their genre preferences.', 'According to Rehbein, F., Staudt, A., Hanslmaier, M. & Kliem, S. (2016) ""The higher gaming time of men is fully accounted for by the male-specific preference for certain game genres.', 'When it came to the simulation genre it was preferred by both men and women.', '\n\nDifficulties with genre groupings', 'There are also some difficulties when it comes to grouping games into genres.', 'There are so many genres and yet a lot of games will fall into the categories of having multiple genres attached.', 'So, therefore, this creates new genres.', ""Video games aren't clearly defined in these genres and there is no set relation or because there is no set relation."", 'There is also an issue with a game having different genres depending on where you look.', 'Different papers suggest many ways to fix these problems, these include having developed a new way of putting games into new and improved genre categories.', 'It includes a total of 5 genres.', 'You could end up with two very different games beside each other but due to having similar mechanics, they would fall under the same genre.', 'Both methods would be very useful to use as a new way of grouping genres.', 'It is clear from the findings in this chapter that genres have a bigger impact on people than people would think.', 'There are also different problems with grouping genres together as they were made so long ago.', 'In this chapter,Â\xa0we discussed difficulties with genre groupings, personalities and gender genre preferences, problems with specific game genres and a short introduction into the world of genres.', 'An Introduction to Videogame Genre Theory.', 'Understanding Videogame Genre Framework.', '57-68\n\nElliott, L., Golub, A., Ream, G. & Dunlap, E. (2012) Â\xa0Video Game Genre as a Predictor of Problem Use.', 'The Game Genre Map: A Revised Game Classification.', '\n\nMackinnon, S. (2019) Â\xa0Video Games by Year and Genre:', 'The Influence of Game Genre on Internet Gaming Disorder.', 'Â\xa0Personality & Video Game Genre Preferences.', 'Video Game Playing in the General Adult Population of Germany: Can Higher Gaming Time of Males be Explained by Gender-Specific Genre Preferences?']",56
style,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.', 'Games with the same mechanics and the same styles of gameplay would be put into one genre.']",2
category,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.', '""The game genre is ""a recurring type or category of text [...] defined by structural, thematic and /or functional criteria"".', 'There are so many genres and yet a lot of games will fall into the categories of having multiple genres attached.', 'Different papers suggest many ways to fix these problems, these include having developed a new way of putting games into new and improved genre categories.', 'Another suggestion was to use a type of map to group games so if they fall under different categories they go in certain spots of the map.']",5
example,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.', 'Some examples of game genres would include ""action"", ""adventure"" ""simulation"" and ""shooter"".', 'Some examples of these genres would be ""shooter"", ""platform"" and ""puzzle.""', 'For example, people with the personality type ""extraversion"" tend to prefer party, music and casual games']",4
movie,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.']",1
tv,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.']",1
