New Microsoft Word Document_nouns.csv
Unique nouns: 113, Total nouns: 189
Total time: 1.219 sec,Cost per noun: 6.449 ms
game type,"['Game Type and Game Genre', 'Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.', 'When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'The following is brief list of game types:', 'Action: Games that offer intensity of action as the primary attraction.', 'Adventure: Games that offer exploration and puzzle solving as the main attraction.', 'Puzzle: Games that offer puzzles as the primary attraction to games.', ' \\\'"", \\\'b\\\\\\\' Role Playing: Games that offer the player an opportunity to immerse themselves in the player character\\\\\\\'s situation.', 'Combat simulations and racecar simulations are relatively popular in this game type.', 'Games such as Command and Conquer are examples of story based strategy games.', 'This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.', 'Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.', 'The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']",15
game genre,"['Game Type and Game Genre', 'Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.', 'When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'Game Genre Game genre describes the way the story is told.', 'Lindsay Grace \\\\\\\'\\\', ""b\\\'The following is a list of game genres.', 'There could be, for example, a game genre for romance or history, but these are not listed here.', 'Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']",8
the industry,"['Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1
a distinct difference,"['Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1
video game,"['Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1
game story,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.']",2
we,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'These games are most commonly released on low budgets via the web.', '  One of the most successful puzzle games is the famed Tetris, Lemmings and Minesweeper.', 'Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil  Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",4
a description,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",2
game play,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.', '  The people who play these games tend be the oldest population of the game playing community.', '  Characters tend to be rich, game play is long, and character management is technical in RPGs.']",4
the narrative content,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",1
the game,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",1
