Video Game Technologies_nouns.csv
Unique nouns: 310,Total nouns: 373
Total time: 1.591 sec,Cost per noun: 4.267 ms
game,"['Game Genres Video Game Technologies 11498: MSc in Computer Science and Engineering 11156: MSc in Game Design and Development Chap.', 'Game genres:  DiscussionGame GenresObjectives To distinguish a computer game from a video game and a console game To distinguish amonsgt several types or genres of games To become games a serious matterGame GenresDefinitions (taken from Wikipedia)', 'Game GenresGame genresHowever, the classification of games is not always consistent and can be somewhat arbitrary.', 'Games are often classified into genres, which purport to define games in terms of having a common style or set of characteristics, e.g. as defined in terms of perspective, gameplay, interaction, objective, etc.', 'The puzzles can often involve manipulating and interacting with in-game objects, characters, etc.', 'Games such as Pong and Space Invaders initially defined the genre.', 'Originally started out as video games based on pen and pencil games like Dungeons and Dragons.', 'Game GenresRacing games Racing games typically place the player behind the wheel and involve competing in a race against other drivers and/or time.', 'Notable examples include:- Tetris- Lemmings- Minesweeper- Boulder DashGame GenresTraditional games Traditional games represent computerised versions of board, word, and card games and include games such as chess, checkers, backgammon, mah-jongg, go, scrabble, etc.']",11
video game technology,['Game Genres Video Game Technologies 11498: MSc in Computer Science and Engineering 11156: MSc in Game Design and Development Chap.'],1
msc,['Game Genres Video Game Technologies 11498: MSc in Computer Science and Engineering 11156: MSc in Game Design and Development Chap.'],2
computer science,['Game Genres Video Game Technologies 11498: MSc in Computer Science and Engineering 11156: MSc in Game Design and Development Chap.'],1
game design,['Game Genres Video Game Technologies 11498: MSc in Computer Science and Engineering 11156: MSc in Game Design and Development Chap.'],1
development,['Game Genres Video Game Technologies 11498: MSc in Computer Science and Engineering 11156: MSc in Game Design and Development Chap.'],1
chap,['Game Genres Video Game Technologies 11498: MSc in Computer Science and Engineering 11156: MSc in Game Design and Development Chap.'],1
the course,"[""1 - Game GenresTaken from the course CSC207, Java Games Programmingby Philip HannaQueen's University, Belfast, IrelandGame GenresOutline Objectives""]",1
csc207,"[""1 - Game GenresTaken from the course CSC207, Java Games Programmingby Philip HannaQueen's University, Belfast, IrelandGame GenresOutline Objectives""]",1
java game,"[""1 - Game GenresTaken from the course CSC207, Java Games Programmingby Philip HannaQueen's University, Belfast, IrelandGame GenresOutline Objectives""]",1
hannaqueen's university,"[""1 - Game GenresTaken from the course CSC207, Java Games Programmingby Philip HannaQueen's University, Belfast, IrelandGame GenresOutline Objectives""]",1
belfast,"[""1 - Game GenresTaken from the course CSC207, Java Games Programmingby Philip HannaQueen's University, Belfast, IrelandGame GenresOutline Objectives""]",1
irelandgame genresoutline objective,"[""1 - Game GenresTaken from the course CSC207, Java Games Programmingby Philip HannaQueen's University, Belfast, IrelandGame GenresOutline Objectives""]",1
the concept,"['The concepts of computer game, console game, and video game.', 'Objectives The concepts of computer game, console game, and video game.']",2
computer game,"['The concepts of computer game, console game, and video game.', 'Objectives The concepts of computer game, console game, and video game.']",2
console game,"['The concepts of computer game, console game, and video game.', 'Objectives The concepts of computer game, console game, and video game.']",2
video game,"['The concepts of computer game, console game, and video game.', 'Originally started out as video games based on pen and pencil games like Dungeons and Dragons.', 'Objectives The concepts of computer game, console game, and video game.']",3
game genre,"['Game genres:  DiscussionGame GenresObjectives To distinguish a computer game from a video game and a console game To distinguish amonsgt several types or genres of games To become games a serious matterGame GenresDefinitions (taken from Wikipedia)', 'Game genres:  DiscussionGame GenresQuestions & Further reading:- Difference between strategy and tactics?- Difference between First-Person Shooter (FPS) and Third-Person Shooter?- http://www.thocp.net/software/games/reference/genres.htm- http://www.lgrace.com/documents/Game_types_and_genres.pdf- http://tvtropes.org/pmwiki/pmwiki.php/Main/VideoGameGenres- http://www.robinlionheart.com/gamedev/genres.xhtmlGame GenresNext class:  Chapter 3: Game Engines- http://www.giantbomb.com/profile/michaelenger/blog/game-engines-how-do-they-work/101529/- http://www.develop-online.net/news/the-top-14-game-engines-the-list-in-full/0114330- http://www.develop-online.net/tools-and-tech/the-top-16-game-engines-for-2014/0192302- http://html5gameengine.com/-']",2
genresobjective,['Game genres:  DiscussionGame GenresObjectives To distinguish a computer game from a video game and a console game To distinguish amonsgt several types or genres of games To become games a serious matterGame GenresDefinitions (taken from Wikipedia)'],1
a computer game,"['Game genres:  DiscussionGame GenresObjectives To distinguish a computer game from a video game and a console game To distinguish amonsgt several types or genres of games To become games a serious matterGame GenresDefinitions (taken from Wikipedia)', 'A computer game is a computer-controlled game.', 'A video game is a computer game where a video display such as a monitor or television is the primary feedback device.']",3
a video game,"['Game genres:  DiscussionGame GenresObjectives To distinguish a computer game from a video game and a console game To distinguish amonsgt several types or genres of games To become games a serious matterGame GenresDefinitions (taken from Wikipedia)', 'A video game is a computer game where a video display such as a monitor or television is the primary feedback device.']",2
a console game,['Game genres:  DiscussionGame GenresObjectives To distinguish a computer game from a video game and a console game To distinguish amonsgt several types or genres of games To become games a serious matterGame GenresDefinitions (taken from Wikipedia)'],1
amonsgt several type,['Game genres:  DiscussionGame GenresObjectives To distinguish a computer game from a video game and a console game To distinguish amonsgt several types or genres of games To become games a serious matterGame GenresDefinitions (taken from Wikipedia)'],1
genre,"['Game genres:  DiscussionGame GenresObjectives To distinguish a computer game from a video game and a console game To distinguish amonsgt several types or genres of games To become games a serious matterGame GenresDefinitions (taken from Wikipedia)', 'Games are often classified into genres, which purport to define games in terms of having a common style or set of characteristics, e.g. as defined in terms of perspective, gameplay, interaction, objective, etc.']",2
a serious mattergame genresdefinition,['Game genres:  DiscussionGame GenresObjectives To distinguish a computer game from a video game and a console game To distinguish amonsgt several types or genres of games To become games a serious matterGame GenresDefinitions (taken from Wikipedia)'],1
wikipedia,['Game genres:  DiscussionGame GenresObjectives To distinguish a computer game from a video game and a console game To distinguish amonsgt several types or genres of games To become games a serious matterGame GenresDefinitions (taken from Wikipedia)'],1
a computer-controlled game,['A computer game is a computer-controlled game.'],1
a video display,['A video game is a computer game where a video display such as a monitor or television is the primary feedback device.'],1
a monitor,['A video game is a computer game where a video display such as a monitor or television is the primary feedback device.'],1
television,['A video game is a computer game where a video display such as a monitor or television is the primary feedback device.'],1
the primary feedback device,['A video game is a computer game where a video display such as a monitor or television is the primary feedback device.'],1
the phrase,['The phrase interactive entertainment is the formal reference to computer and video games.'],1
interactive entertainment,['The phrase interactive entertainment is the formal reference to computer and video games.'],1
the formal reference,['The phrase interactive entertainment is the formal reference to computer and video games.'],1
computer and video game,['The phrase interactive entertainment is the formal reference to computer and video games.'],1
common usage:- computer game,"['In common usage:- Computer game or a PC game is played on a PC- Console game is played on a device specifically designed for gaming- Video game has evolved into a catchall phrase that encompasses the above along with any game made for mobile phones, PDAs, etc.']",1
a pc game,"['In common usage:- Computer game or a PC game is played on a PC- Console game is played on a device specifically designed for gaming- Video game has evolved into a catchall phrase that encompasses the above along with any game made for mobile phones, PDAs, etc.']",1
a pc- console game,"['In common usage:- Computer game or a PC game is played on a PC- Console game is played on a device specifically designed for gaming- Video game has evolved into a catchall phrase that encompasses the above along with any game made for mobile phones, PDAs, etc.']",1
a device,"['In common usage:- Computer game or a PC game is played on a PC- Console game is played on a device specifically designed for gaming- Video game has evolved into a catchall phrase that encompasses the above along with any game made for mobile phones, PDAs, etc.']",1
gaming- video game,"['In common usage:- Computer game or a PC game is played on a PC- Console game is played on a device specifically designed for gaming- Video game has evolved into a catchall phrase that encompasses the above along with any game made for mobile phones, PDAs, etc.']",1
a catchall phrase,"['In common usage:- Computer game or a PC game is played on a PC- Console game is played on a device specifically designed for gaming- Video game has evolved into a catchall phrase that encompasses the above along with any game made for mobile phones, PDAs, etc.']",1
any game,"['In common usage:- Computer game or a PC game is played on a PC- Console game is played on a device specifically designed for gaming- Video game has evolved into a catchall phrase that encompasses the above along with any game made for mobile phones, PDAs, etc.']",1
mobile phone,"['In common usage:- Computer game or a PC game is played on a PC- Console game is played on a device specifically designed for gaming- Video game has evolved into a catchall phrase that encompasses the above along with any game made for mobile phones, PDAs, etc.']",1
pda,"['In common usage:- Computer game or a PC game is played on a PC- Console game is played on a device specifically designed for gaming- Video game has evolved into a catchall phrase that encompasses the above along with any game made for mobile phones, PDAs, etc.']",1
game genresgame genreshowever,"['Game GenresGame genresHowever, the classification of games is not always consistent and can be somewhat arbitrary.']",1
the classification,"['Game GenresGame genresHowever, the classification of games is not always consistent and can be somewhat arbitrary.']",1
some food,"[""Does this really matter?For some food for thought read Wittgenstein's Philosophical Investigations http://en.wikipedia.org/wiki/Philosophical_Investigationsadventure games; action games; action-adventure games; platform games; fighting games; first-person shooter games; real-time strategy games; turn-based strategy games; role playing games; massively multiplayer online games; stealth games; survival horror games; simulation games; racing games; sports games; rythm games; puzzle games; board games; educational games; serious games.""]",1
thought,"[""Does this really matter?For some food for thought read Wittgenstein's Philosophical Investigations http://en.wikipedia.org/wiki/Philosophical_Investigationsadventure games; action games; action-adventure games; platform games; fighting games; first-person shooter games; real-time strategy games; turn-based strategy games; role playing games; massively multiplayer online games; stealth games; survival horror games; simulation games; racing games; sports games; rythm games; puzzle games; board games; educational games; serious games.""]",1
