VideoGameGenres_08_nouns.csv
Unique nouns: 163, Total nouns: 313
Total time: Uncomputed,Cost per noun: Uncomputed
replies,['3 Replies'],1
3 replies,['3 Replies'],1
classification,"['There are many classifications of video games.', 'These classifications are also known as genres.']",2
video,"['There are many classifications of video games.', 'Video games can be classified into several distinct genres.', 'Video games are most often classified into groups that represent what kind of system they are played on, like games that are made for computer systems or games that are made for consoles.', 'Video games can be put into many different categories based on the way they are played.', '\n\nAction video games are games that usually emphasize physical challenges, including hand-eye coordination and reaction time.', ""\n\nShooter video games also test a players's speed and reaction time."", '\n\nAction-adventure games are video games that combines elements of the adventure game genre with various action game elements.', '\n\nAn adventure game is a video game in which the player assumes the role of protagonist in an interactive story driven by exploration and puzzle-solving.', 'Â\xa0Role-playing video games typically rely on a highly developed story and setting which is divided into a number of quests.', '\n\nSimulation video games are games that are designed to closely simulate aspects of a real or fictional reality.', '\n\nStrategy video games focus on careful planning and skillful resource management in order to achieve a Â\xa0goal.', '\n\nPuzzle video games require the player to solve logic puzzles or even navigate complex locations.', 'In addition, a video game can fit into many different genres.', 'For example, a video game called Grand Theft Auto has included basically all the genres within their video games.', 'Because of this, Grand Theft Auto has become the top selling franchise of a video game.']",16
game,"['There are many classifications of video games.', 'Video games can be classified into several distinct genres.', 'Video games are most often classified into groups that represent what kind of system they are played on, like games that are made for computer systems or games that are made for consoles.', 'Video games can be put into many different categories based on the way they are played.', 'Shooter games like Call of Duty are much different then puzzle games like Tetris.', '\n\nAction video games are games that usually emphasize physical challenges, including hand-eye coordination and reaction time.', 'In most action games, the player typically controls the character of a protagonist.', 'The player wins the game by finishing a sequence of levels.', ""\n\nShooter video games also test a players's speed and reaction time."", 'Shooter games tend to focus on a character using some sort of weapon, usually a gun.', 'The purpose of shooter games is to shoot opponents and proceed through missions.', '\n\nAction-adventure games are video games that combines elements of the adventure game genre with various action game elements.', '\n\nAn adventure game is a video game in which the player assumes the role of protagonist in an interactive story driven by exploration and puzzle-solving.', 'Nearly all adventure games are designed for a single player.', '\n\nA role-playing game is a game in which players assume the roles of characters in fictional setting.', 'Â\xa0Role-playing video games typically rely on a highly developed story and setting which is divided into a number of quests.', '\n\nSimulation video games are games that are designed to closely simulate aspects of a real or fictional reality.', 'Majority of all games fits into this category.', '\n\nStrategy video games focus on careful planning and skillful resource management in order to achieve a Â\xa0goal.', 'These are also know as the thinking games.', '\n\nPuzzle video games require the player to solve logic puzzles or even navigate complex locations.', 'In addition, a video game can fit into many different genres.', 'The more genres a game includes, the better the player enjoys the game.', 'For example, a video game called Grand Theft Auto has included basically all the genres within their video games.', 'Because of this, Grand Theft Auto has become the top selling franchise of a video game.']",37
many classifications,['There are many classifications of video games.'],1
video games,"['There are many classifications of video games.', 'Video games can be classified into several distinct genres.', 'Video games are most often classified into groups that represent what kind of system they are played on, like games that are made for computer systems or games that are made for consoles.', 'Video games can be put into many different categories based on the way they are played.', '\n\nAction-adventure games are video games that combines elements of the adventure game genre with various action game elements.', '\n\nPuzzle video games require the player to solve logic puzzles or even navigate complex locations.']",6
genre,"['These classifications are also known as genres.', 'Video games can be classified into several distinct genres.', '\n\nThese genre include action, shooter, action-adventure, adventure, role-playing, simulation, strategy, puzzles, cards, and race.', '\n\nAction-adventure games are video games that combines elements of the adventure game genre with various action game elements.', 'It is perhaps the broadest and most diverse genre in gaming.', '\n\nThe last to genres are cards and race which are self explanatory.', 'In addition, a video game can fit into many different genres.', 'The more genres a game includes, the better the player enjoys the game.', 'For example, a video game called Grand Theft Auto has included basically all the genres within their video games.']",9
these classifications,['These classifications are also known as genres.'],1
genres,"['These classifications are also known as genres.', '\n\nThe last to genres are cards and race which are self explanatory.']",2
