VideoGameGenres_09_nouns.csv,
Unique nouns: 339, Total nouns: 689
Total time: Uncomputed,Cost per noun: Uncomputed
page,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]']",2
â,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]']",2
analysis,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]']",1
system,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]', ""Killers: interfere with the functioning of the game world or the play experience of other players\n\nAchievers: accumulate status tokens by beating the rules-based challenges of the game world\n\nExplorers: discover the systems governing the operation of the game world\n\nSocializers: form relationships with other players by telling stories within the game world\n\nThese four styles emerged from the combination of two primary gameplay interests, which I've called Content and Control, each of which has two mutually exclusive forms."", 'Content is defined to mean either acting simply and directly on objects in the game world, or interacting more deeply with world-systems.']",3
gameplay,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]', ""Killers: interfere with the functioning of the game world or the play experience of other players\n\nAchievers: accumulate status tokens by beating the rules-based challenges of the game world\n\nExplorers: discover the systems governing the operation of the game world\n\nSocializers: form relationships with other players by telling stories within the game world\n\nThese four styles emerged from the combination of two primary gameplay interests, which I've called Content and Control, each of which has two mutually exclusive forms.""]",3
model,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]', '\n\nNumerous models of gamer psychology have been proposed and debated over the past couple of decades.', 'I believe this is because the Bartle Types are a functional model of human personality in a game playing context.', ""In other words, the Bartle typology works because it's a subset of a more general personality model that works."", 'In fact, several of the best-known play style and game design models share many conceptual elements.', ""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles."", '\n\nThis model, which was based on observing and analyzing the behaviors people playing together in a multi-user game, holds that there are four different kinds of play style interests, each of which is given a descriptive name:', 'The   Bartle Types\n\nThe Four Keirsey Temperaments\n\nIn the 1970s, psychologist David Keirsey identified four general patterns from the sixteen types of the Myers-Briggs personality model.', 'However, by the time he proposed his grouping model in the second edition of his book, I had already worked out a somewhat different arrangement.', 'Rather than the two dimensions that Keirsey used in his model, I believe the two most fundamentally distinctive dimensions of human behavior are Internals (a preference for seeing possibilities and the abstract) vs. Externals (seeing the concrete and realistic), and Change (which can be thought of as freedom or opportunity) vs. Structure (which can be understood as rules or organization).']",12
player,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]', 'The official description of the original four Bartle Types (which have been expanded to eight types in Richard Bartle\'s book Designing Virtual Worlds) is preserved in the paper "" Hearts, Clubs, Diamonds, Spades: Players Who Suit MUDs "" by Multi-User Dungeon (MUD) co-creator Richard Bartle.', ""Killers: interfere with the functioning of the game world or the play experience of other players\n\nAchievers: accumulate status tokens by beating the rules-based challenges of the game world\n\nExplorers: discover the systems governing the operation of the game world\n\nSocializers: form relationships with other players by telling stories within the game world\n\nThese four styles emerged from the combination of two primary gameplay interests, which I've called Content and Control, each of which has two mutually exclusive forms."", 'Control refers to how players want to experience the game world -- either through the dynamic behaviors of other players, or with the relatively static world of the game itself.', '\n\nThe bases of the Bartle Types are thus two pairs of complementary player goals:', 'A gamer who prefers acting over interacting and is focused more on the world of the game than other players, for example, would most likely demonstrate Achiever behaviors when playing a game.', '(Note: This table is rotated 90 degrees clockwise from the version presented in ""Players Who Suit MUDs"" for reasons that will become apparent later in this article.)', 'In his book (co-written with Marilyn Bates) Please Understand Me, Keirsey described these four ""temperaments,"" giving them descriptive names much as Richard Bartle named his player types:\n\nArtisan (Sensing + Perceiving): realistic, tactical, manipulative (of things or people), pragmatic, impulsive, action-focused, sensation-seeking\n\nGuardian (Sensing + Judging): practical, logistical, hierarchical, organized, detail-oriented, possessive, process-focused, security-seeking', 'Artisan, Guardian, Rational, and Idealist -- are supersets of the original four player types -- Killer, Achiever, Explorer, and Socializer, respectively -- as described by Richard Bartle.']",11
behavior,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]', '\n\nThis model, which was based on observing and analyzing the behaviors people playing together in a multi-user game, holds that there are four different kinds of play style interests, each of which is given a descriptive name:', 'Control refers to how players want to experience the game world -- either through the dynamic behaviors of other players, or with the relatively static world of the game itself.', 'A gamer who prefers acting over interacting and is focused more on the world of the game than other players, for example, would most likely demonstrate Achiever behaviors when playing a game.', 'Rather than the two dimensions that Keirsey used in his model, I believe the two most fundamentally distinctive dimensions of human behavior are Internals (a preference for seeing possibilities and the abstract) vs. Externals (seeing the concrete and realistic), and Change (which can be thought of as freedom or opportunity) vs. Structure (which can be understood as rules or organization).']",5
game,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]', 'I believe this is because the Bartle Types are a functional model of human personality in a game playing context.', 'In fact, several of the best-known play style and game design models share many conceptual elements.', ""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles."", '\n\nThis model, which was based on observing and analyzing the behaviors people playing together in a multi-user game, holds that there are four different kinds of play style interests, each of which is given a descriptive name:', ""Killers: interfere with the functioning of the game world or the play experience of other players\n\nAchievers: accumulate status tokens by beating the rules-based challenges of the game world\n\nExplorers: discover the systems governing the operation of the game world\n\nSocializers: form relationships with other players by telling stories within the game world\n\nThese four styles emerged from the combination of two primary gameplay interests, which I've called Content and Control, each of which has two mutually exclusive forms."", 'Content is defined to mean either acting simply and directly on objects in the game world, or interacting more deeply with world-systems.', 'Control refers to how players want to experience the game world -- either through the dynamic behaviors of other players, or with the relatively static world of the game itself.', 'Similarly, Killers and Socializers both seemed eager to have the opportunity to control how they are able to play dynamically with others in the game world, while Achievers and Explorers seemed most interested in controlling their relationships with the developer-defined objects in and properties of the game world itself.', 'A gamer who prefers acting over interacting and is focused more on the world of the game than other players, for example, would most likely demonstrate Achiever behaviors when playing a game.']",16
developer,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]', 'Similarly, Killers and Socializers both seemed eager to have the opportunity to control how they are able to play dynamically with others in the game world, while Achievers and Explorers seemed most interested in controlling their relationships with the developer-defined objects in and properties of the game world itself.']",2
