B777-200 Operating Manual,Trevor Fenimore & Adam Gaweda
Unique nouns: 1564, Total nouns: 3966
Total time: Uncomputed,Cost per noun: Uncomputed
delta,"[' \n \n \nDELTA VIRTUAL AIRLINES \n \n \n \nBOEING 777-200ER \nAIRCRAFT OPERATING MANUAL \nTHIRD EDITION \n \nNOVEMBER 2005', 'Delta Virtual Airlines Standard Operating Procedures.................................................13', 'Today, Delta’s trans-Atlantic flights are dominated by the Boeing 767, with only a \nsecondary role for the MD-11.', 'Delta uses the Rolls-Royce Trents, Air France uses the GE’s, \nand Korean uses the Pratt and Whitney’s.', 'Passengers (Delta) \no', 'Delta \no', 'Captains ordering fuel for Delta Virtual Airlines flights should remember that \nmore  fuel  equates  into  more  drag,  requiring  more  power.', 'Delta Virtual Airlines aircraft should always carry a minimum fuel load for the trip \nto destination, alternate and a 60 min reserve in cruise at low altitude.', 'Delta’s \nstandard is slightly higher, but if you are expecting bad weather, pack more fuel!', 'Delta  Virtual', 'The Boeing 777 fleet installer contains no fewer than \nten aircraft – MelJet Delta Air Lines B777-200ER models in the three Delta liveries, as \nwell as examples in Air France and Korean Air Lines colors.', 'Two special paint schemes, \nthe Delta ‘Soaring Spirit’ and the Korean World Cup 2002, are also included.', 'The installer \nalso contains replacement textures for the default B777-300 that comes with Microsoft \nFlight Simulator, in Delta, Air France and Korean Air Lines.', 'These aircraft models and panels are available from the Delta Virtual Airlines Fleet \nLibrary, as well as the popular flight simulation web sites http://www.flightsim.com \nand  http://www.avsim.com/.', 'DELTA VIRTUAL AIRLINES STANDARD OPERATING PROCEDURES', 'For Delta Virtual Airlines, \nthese procedures are for the benefit of the pilots using this manual.', 'Delta Virtual Airlines is not in anyway affiliated with Delta Air Lines or any of its \nsubsidiaries.', 'The  real  Delta  Air', 'The authors grant unlimited rights to \nDelta Virtual Airlines for modifications and electronic distribution.', 'This manual is designed for use by Delta Virtual Airlines as reference material for \nflight simulator pilots operating the Boeing 777-200ER aircraft.', 'This manual makes no claim to represent Boeing, \nRolls Royce, General Electric, Pratt & Whitney, Microsoft, Delta Air Lines,']",29
virtual,"[' \n \n \nDELTA VIRTUAL AIRLINES \n \n \n \nBOEING 777-200ER \nAIRCRAFT OPERATING MANUAL \nTHIRD EDITION \n \nNOVEMBER 2005', 'Delta Virtual Airlines Standard Operating Procedures.................................................13', 'Captains ordering fuel for Delta Virtual Airlines flights should remember that \nmore  fuel  equates  into  more  drag,  requiring  more  power.', 'Delta Virtual Airlines aircraft should always carry a minimum fuel load for the trip \nto destination, alternate and a 60 min reserve in cruise at low altitude.', 'Delta  Virtual', 'These aircraft models and panels are available from the Delta Virtual Airlines Fleet \nLibrary, as well as the popular flight simulation web sites http://www.flightsim.com \nand  http://www.avsim.com/.', 'DELTA VIRTUAL AIRLINES STANDARD OPERATING PROCEDURES', 'For Delta Virtual Airlines, \nthese procedures are for the benefit of the pilots using this manual.', 'Delta Virtual Airlines is not in anyway affiliated with Delta Air Lines or any of its \nsubsidiaries.', 'The authors grant unlimited rights to \nDelta Virtual Airlines for modifications and electronic distribution.', 'This manual is designed for use by Delta Virtual Airlines as reference material for \nflight simulator pilots operating the Boeing 777-200ER aircraft.']",11
airlines,"[' \n \n \nDELTA VIRTUAL AIRLINES \n \n \n \nBOEING 777-200ER \nAIRCRAFT OPERATING MANUAL \nTHIRD EDITION \n \nNOVEMBER 2005', 'Delta Virtual Airlines Standard Operating Procedures.................................................13', 'In the 1980s, airlines started to make extensive use of “big twin” aircraft such as the \nBoeing 757, 767 and Airbus 300 to deliver large passenger loads without the high \noperating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and \nDC-8.', 'The 777 program was launched in October 1990 with an order from United Airlines.', 'Airlines will have \nadditional flexibility in serving the non-stop routes that passengers demand.', 'Air \nFrance, Japan Airlines, All Nippon, EVA, International Lease Finance, and GE Capital \nAviation Services have ordered a total of 49 firm 777 longer-range aircraft.', 'It entered service in June 1995 with United Airlines, already \nqualified for 180-minute ETOPS (Extended-range Twin-engine Operations) — an industry \nfirst.', 'Captains ordering fuel for Delta Virtual Airlines flights should remember that \nmore  fuel  equates  into  more  drag,  requiring  more  power.', 'Delta Virtual Airlines aircraft should always carry a minimum fuel load for the trip \nto destination, alternate and a 60 min reserve in cruise at low altitude.', 'Airlines  provides  32-bit  Windows  aircraft  fleet  installer  utilities  for  its \naircraft, as part of its Fleet Library.', 'These aircraft models and panels are available from the Delta Virtual Airlines Fleet \nLibrary, as well as the popular flight simulation web sites http://www.flightsim.com \nand  http://www.avsim.com/.', 'DELTA VIRTUAL AIRLINES STANDARD OPERATING PROCEDURES', 'For Delta Virtual Airlines, \nthese procedures are for the benefit of the pilots using this manual.', 'Delta Virtual Airlines is not in anyway affiliated with Delta Air Lines or any of its \nsubsidiaries.', 'The authors grant unlimited rights to \nDelta Virtual Airlines for modifications and electronic distribution.', 'This manual is designed for use by Delta Virtual Airlines as reference material for \nflight simulator pilots operating the Boeing 777-200ER aircraft.']",16
boeing,"[' \n \n \nDELTA VIRTUAL AIRLINES \n \n \n \nBOEING 777-200ER \nAIRCRAFT OPERATING MANUAL \nTHIRD EDITION \n \nNOVEMBER 2005', 'Boeing 777-200ER Aircraft Operating Manual \nAIRCRAFT HISTORY AND BACKGROUND', 'Early airliners such as the Boeing 720 could \ncruise up to Mach 0.90, and the Convair 990 reached speeds up to Mach 0.97.', 'The oil \ncrisis of 1973 accelerated a trend that began with the Boeing 747 – a trend towards \nlarger, more economical airliners.', 'In the 1980s, airlines started to make extensive use of “big twin” aircraft such as the \nBoeing 757, 767 and Airbus 300 to deliver large passenger loads without the high \noperating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and \nDC-8.', 'Today, Delta’s trans-Atlantic flights are dominated by the Boeing 767, with only a \nsecondary role for the MD-11.', 'In the late 1980s, Boeing received requests for a new, larger twin-engine airliner to \nreplace older L-1011s, DC-10s and early model 747s.', 'On June 26th, 1995, the Boeing \nboard of directors authorized production of the 777-300.', 'The  777-200LR  (longer  range)  and  777-300ER  (extended  range)  airplanes  are  two \nlonger-range airplanes that Boeing has recently developed.', 'The Boeing 777 is the first jetliner to be 100 percent digitally designed using three-\ndimensional computer graphics.', 'Boeing 777-200ER Aircraft Operating Manual', 'Applying schedules, time of day demands and competitive strength to a Boeing flight \nselection model, it is estimated that flying 777s instead of A340s would result in a \nrevenue advantage of $18 million per airplane (10 percent net present value) for a \ntypical airline.', 'Boeing 777-200ER Aircraft Operating Manual \nENGINE TYPES', 'The Boeing 777 is available with a choice of three major turbofan engines, from the \nmajor global manufacturers.', 'Trent-powered  Boeing  777  weighs  up  to \n8,000 lb less than competitor-powered versions.', 'Following an extensive technical evaluation, GE Aircraft Engines was specified by The \nBoeing Company to develop a 115,000 pound-thrust GE90 derivative engine for all \nlonger-range 777-200LR and -300ER derivatives.', 'This  derivative  engine  represents  the \nsuccessful  culmination  of  our  original \nstrategy in the early 1990s to build a new \ncenterline engine for the Boeing 777 aircraft \nfamily.', ""In early 2002, the engine began flight tests on GE's Boeing 747 flying test bed at \nMojave, California."", 'Boeing 777-200ER Aircraft Operating Manual \nCertification, first delivery, and entry into service of the 777-300ER are set for 2003.', ""The  PW4084,  certified  at  86,760  pounds  thrust,  was  the  launch  engine  for \nBoeing's 777 super twinjet."", 'The \nPW4090, certified at 91,790 pounds of thrust, entered service on the Boeing 777-200ER \nairplane in March 1997.', 'Boeing 777-200ER Aircraft Operating Manual \nFLIGHT DECK', 'In response to airline preference, the layout of the 777 flight deck is in a horizontal \nformat similar to that of other recent Boeing aircraft, such as the 757, 767 and the 747-\n400.', 'A Boeing-patented two-way digital data bus, ARINC 629, has been adopted as a new \nindustry  standard.', 'Boeing 777-200ER Aircraft Operating Manual \nAIRCRAFT SPECIFICATIONS', 'Boeing 777-200ER Aircraft Operating Manual \nFIELD LENGTHS \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nRANGE \n \nSPEEDS', 'Boeing 777-200ER Aircraft Operating Manual \n \n(cid:131) V  \nREF\n \n(cid:131) V / V  / V  \n1  R 2\n \n \nALTITUDES \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nFUEL CONSUMPTION', 'The Boeing 777-200 has three fuel tanks – left main, right main and center main.', 'Boeing 777-200ER Aircraft Operating Manual \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nRECOMMENDED EQUIPMENT', 'The Boeing 777 fleet installer contains no fewer than \nten aircraft – MelJet Delta Air Lines B777-200ER models in the three Delta liveries, as \nwell as examples in Air France and Korean Air Lines colors.', 'All aircraft use the default Boeing 777 panel included with Microsoft Flight Simulator.', 'Boeing 777-200ER Aircraft Operating Manual \nthese procedures pilots will be able to make better use of the manual and also operate \nthe aircraft in a similar fashion company wide.', 'Boeing 777-200ER Aircraft Operating Manual \n(cid:131) Execute “In Range” Checklist.', 'Boeing 777-200ER Aircraft Operating Manual \nSECURING THE AIRCRAFT \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nNORMAL CHECKLISTS \nRECEIVING AIRCRAFT', 'Boeing 777-200ER Aircraft Operating Manual \nIN RANGE', 'Boeing 777-200ER Aircraft Operating Manual \n \nEMERGENCY PROCEDURES \nMISSED APPROACH', 'Boeing 777-200ER Aircraft Operating Manual \nENGINE FAILURE SHUTDOWN MID FLIGHT \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nGEAR STUCK UP \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nPILOT NOTES AND OBSERVATIONS', 'Boeing 777-200ER Aircraft Operating Manual \nLEGAL STUFF \n(cid:131)', 'This manual is designed for use by Delta Virtual Airlines as reference material for \nflight simulator pilots operating the Boeing 777-200ER aircraft.', 'This manual makes no claim to represent Boeing, \nRolls Royce, General Electric, Pratt & Whitney, Microsoft, Delta Air Lines,']",76
200er,"[' \n \n \nDELTA VIRTUAL AIRLINES \n \n \n \nBOEING 777-200ER \nAIRCRAFT OPERATING MANUAL \nTHIRD EDITION \n \nNOVEMBER 2005', 'Boeing 777-200ER Aircraft Operating Manual \nAIRCRAFT HISTORY AND BACKGROUND', 'The 777 currently is available in five models: 777-200, 777-200ER (extended range), \n777-200LR (longer-range), 777-300 and the 777-300ER.', 'Boeing 777-200ER Aircraft Operating Manual', 'The 777-300ER \nis a versatile long-range aircraft with an increased capacity over the –200ER/LR.', 'Boeing 777-200ER Aircraft Operating Manual \nENGINE TYPES', 'Boeing 777-200ER Aircraft Operating Manual \nCertification, first delivery, and entry into service of the 777-300ER are set for 2003.', 'The \nPW4090, certified at 91,790 pounds of thrust, entered service on the Boeing 777-200ER \nairplane in March 1997.', 'The  PW4098,  at  99,040  pounds  of  thrust,  is  available for 777-200ER and 777-300 \nmodels.', 'Boeing 777-200ER Aircraft Operating Manual \nFLIGHT DECK', 'Boeing 777-200ER Aircraft Operating Manual \nAIRCRAFT SPECIFICATIONS', 'Boeing 777-200ER Aircraft Operating Manual \nFIELD LENGTHS \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nRANGE \n \nSPEEDS', 'Boeing 777-200ER Aircraft Operating Manual \n \n(cid:131) V  \nREF\n \n(cid:131) V / V  / V  \n1  R 2\n \n \nALTITUDES \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nFUEL CONSUMPTION', 'With a full load of fuel, the 777-200ER is capable of \nflying approximately 7,730 nautical miles.', '\n \n  777-200ER', 'Boeing 777-200ER Aircraft Operating Manual \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nRECOMMENDED EQUIPMENT', 'The Boeing 777 fleet installer contains no fewer than \nten aircraft – MelJet Delta Air Lines B777-200ER models in the three Delta liveries, as \nwell as examples in Air France and Korean Air Lines colors.', 'Boeing 777-200ER Aircraft Operating Manual \nthese procedures pilots will be able to make better use of the manual and also operate \nthe aircraft in a similar fashion company wide.', 'Boeing 777-200ER Aircraft Operating Manual \n(cid:131) Execute “In Range” Checklist.', 'Boeing 777-200ER Aircraft Operating Manual \nSECURING THE AIRCRAFT \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nNORMAL CHECKLISTS \nRECEIVING AIRCRAFT', 'Boeing 777-200ER Aircraft Operating Manual \nIN RANGE', 'Boeing 777-200ER Aircraft Operating Manual \n \nEMERGENCY PROCEDURES \nMISSED APPROACH', 'Boeing 777-200ER Aircraft Operating Manual \nENGINE FAILURE SHUTDOWN MID FLIGHT \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nGEAR STUCK UP \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nPILOT NOTES AND OBSERVATIONS', 'Boeing 777-200ER Aircraft Operating Manual \nLEGAL STUFF \n(cid:131)', 'This manual is designed for use by Delta Virtual Airlines as reference material for \nflight simulator pilots operating the Boeing 777-200ER aircraft.']",34
aircraft,"[' \n \n \nDELTA VIRTUAL AIRLINES \n \n \n \nBOEING 777-200ER \nAIRCRAFT OPERATING MANUAL \nTHIRD EDITION \n \nNOVEMBER 2005', '2 \nAircraft History and Background .................................................................................1 \nEngine Types.............................................................................................................', '3 \nPratt & Whitney PW4090........................................................................................4 \nFlight Deck................................................................................................................5 \nAircraft Specifications.................................................................................................7 \nAircraft Dimensions................................................................................................7 \nDesign Weights......................................................................................................7', 'Securing the Aircraft ............................................................................................17 \nNormal Checklists....................................................................................................', 'Receiving Aircraft.................................................................................................', 'Boeing 777-200ER Aircraft Operating Manual \nAIRCRAFT HISTORY AND BACKGROUND', 'In the 1980s, airlines started to make extensive use of “big twin” aircraft such as the \nBoeing 757, 767 and Airbus 300 to deliver large passenger loads without the high \noperating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and \nDC-8.', 'Originally, they started out with a \n767 derivative called the 767-X. After initial customer feedback, this derivative design \nwas scrapped in favor of a completely new aircraft that became the 777.', 'This aircraft \nwould have the economics of a large, twin-engine aircraft combined with the range and \nseating capacity of large, multi-engine airliners.', 'Boeing 777-200ER Aircraft Operating Manual', 'The first of the two models is the longest-range aircraft ever to fly in the history of the \nworld.', 'The 777-300ER \nis a versatile long-range aircraft with an increased capacity over the –200ER/LR.', 'Boeing 777-200ER Aircraft Operating Manual \nENGINE TYPES', 'Following an extensive technical evaluation, GE Aircraft Engines was specified by The \nBoeing Company to develop a 115,000 pound-thrust GE90 derivative engine for all \nlonger-range 777-200LR and -300ER derivatives.', 'This  derivative  engine  represents  the \nsuccessful  culmination  of  our  original \nstrategy in the early 1990s to build a new \ncenterline engine for the Boeing 777 aircraft \nfamily.', 'Boeing 777-200ER Aircraft Operating Manual \nCertification, first delivery, and entry into service of the 777-300ER are set for 2003.', 'Air \nFrance, Japan Airlines, All Nippon, EVA, International Lease Finance, and GE Capital \nAviation Services have ordered a total of 49 firm 777 longer-range aircraft.', 'The PW4000 112-inch fan engine is the reliability, experience and ETOPS leader for 777 \naircraft, providing the best customer value.', 'Boeing 777-200ER Aircraft Operating Manual \nFLIGHT DECK', 'In response to airline preference, the layout of the 777 flight deck is in a horizontal \nformat similar to that of other recent Boeing aircraft, such as the 757, 767 and the 747-\n400.', 'Boeing 777-200ER Aircraft Operating Manual \nAIRCRAFT SPECIFICATIONS', 'AIRCRAFT DIMENSIONS', 'Boeing 777-200ER Aircraft Operating Manual \nFIELD LENGTHS \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nRANGE \n \nSPEEDS', 'Boeing 777-200ER Aircraft Operating Manual \n \n(cid:131) V  \nREF\n \n(cid:131) V / V  / V  \n1  R 2\n \n \nALTITUDES \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nFUEL CONSUMPTION', 'To load fuel into your aircraft, select Aircraft, then Fuel and place the correct fuel \namounts in the correct tanks.', 'Any trip estimations that you see in this manual are for calm winds and standard \ntemperatures, any deviation from standard, winds or temperature will result in \ndifferent actual performance for your aircraft.', 'Boeing 777-200ER Aircraft Operating Manual \n(cid:131)', 'Delta Virtual Airlines aircraft should always carry a minimum fuel load for the trip \nto destination, alternate and a 60 min reserve in cruise at low altitude.', 'Pilots \nare to make sure that the aircraft is always operated within all design limitations.', 'When flying over long bodies of water, remember that in the event of pressurization \nproblem or an engine failure that requires descent to 14,000 feet MSL for passenger \ncomfort, the fuel burn for your aircraft will increase significantly and may leave you \nshort of your initial destination.', 'Boeing 777-200ER Aircraft Operating Manual \nRECOMMENDED EQUIPMENT', 'Airlines  provides  32-bit  Windows  aircraft  fleet  installer  utilities  for  its \naircraft, as part of its Fleet Library.', 'The Boeing 777 fleet installer contains no fewer than \nten aircraft – MelJet Delta Air Lines B777-200ER models in the three Delta liveries, as \nwell as examples in Air France and Korean Air Lines colors.', 'All aircraft use the default Boeing 777 panel included with Microsoft Flight Simulator.', 'These aircraft models and panels are available from the Delta Virtual Airlines Fleet \nLibrary, as well as the popular flight simulation web sites http://www.flightsim.com \nand  http://www.avsim.com/.', 'If  you  find  a  model  or  panel  that  you  believe  is \nsuperior to the ones provided in the aircraft installer, please contact us and send us a \ncopy.', 'Boeing 777-200ER Aircraft Operating Manual \nthese procedures pilots will be able to make better use of the manual and also operate \nthe aircraft in a similar fashion company wide.', 'Execute “Receiving Aircraft” checklist.', 'Close aircraft doors 5 minutes prior to scheduled departure time.', 'Idle thrust is sufficient to keep the \naircraft rolling.', 'At V , rotate the aircraft smoothly (2.5 deg/sec) to 15 degrees pitch up.', 'At acceleration height, lower the nose to 10 degrees to accelerate the aircraft \nand set flaps 1°.', 'Boeing 777-200ER Aircraft Operating Manual \n(cid:131) Execute “In Range” Checklist.', 'Slow the aircraft on the glide slope to 160 KIAS and flaps 20°.', 'Boeing 777-200ER Aircraft Operating Manual \nSECURING THE AIRCRAFT \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nNORMAL CHECKLISTS \nRECEIVING AIRCRAFT', 'Boeing 777-200ER Aircraft Operating Manual \nIN RANGE', 'Boeing 777-200ER Aircraft Operating Manual \n \nEMERGENCY PROCEDURES \nMISSED APPROACH', 'At 1,500 feet AGL lower nose to 10 degrees and continue with the take off \nprocedure for cleaning the aircraft up. \n \nREJECTED TAKE-OFF \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nENGINE FAILURE SHUTDOWN MID FLIGHT \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nGEAR STUCK UP \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nPILOT NOTES AND OBSERVATIONS', 'While the 777 is one of the most technologically advanced commercial aircraft in the \nworld,  pilots  should  always  remember  that  the  777  is  still  a  very  large  aircraft.', ' \nTherefore, large aircraft rules apply to the 777.', 'For instance, pilots should not try a very \nshort approach with very tight turns as if they were flying a 737 or other smaller aircraft.', 'One of the best aspects of the 777 is the aircraft’s performance in severe weather \nconditions.', 'Not only is the aircraft stable, but strong crosswinds can be handled on \ndemand.', 'The advanced systems of the 777 make navigating through bad weather easier \nthan in other commercial aircraft.', 'However, wind shear can be a problem given the \naircraft’s weight.', 'This will give the pilot more room to recover and with the 777’s advanced braking \ncapabilities, slowing after a hot landing is not as difficult as in other large aircraft such \nas the 767-400, 747-400 and 340-600.', 'Given the high thrust output from the 777 engines, climbing at higher rates is not as \ndifficult as in other large aircraft.', 'Boeing 777-200ER Aircraft Operating Manual \nLEGAL STUFF \n(cid:131)', 'This manual is designed for use by Delta Virtual Airlines as reference material for \nflight simulator pilots operating the Boeing 777-200ER aircraft.', 'The information in this manual has been gathered from Internet resources and \nfrom test flying the aircraft.']",83
operating,"[' \n \n \nDELTA VIRTUAL AIRLINES \n \n \n \nBOEING 777-200ER \nAIRCRAFT OPERATING MANUAL \nTHIRD EDITION \n \nNOVEMBER 2005', 'Delta Virtual Airlines Standard Operating Procedures.................................................13', 'Boeing 777-200ER Aircraft Operating Manual \nAIRCRAFT HISTORY AND BACKGROUND', 'In the 1980s, airlines started to make extensive use of “big twin” aircraft such as the \nBoeing 757, 767 and Airbus 300 to deliver large passenger loads without the high \noperating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and \nDC-8.', 'Boeing 777-200ER Aircraft Operating Manual', 'Boeing 777-200ER Aircraft Operating Manual \nENGINE TYPES', 'Boeing 777-200ER Aircraft Operating Manual \nCertification, first delivery, and entry into service of the 777-300ER are set for 2003.', 'Boeing 777-200ER Aircraft Operating Manual \nFLIGHT DECK', 'Management  System  (AIMS)  provides  flight  and \nmaintenance crews all pertinent information concerning the overall condition of the \nairplane, its maintenance requirements and its key operating functions, including flight, \nthrust and communications management.', 'Boeing 777-200ER Aircraft Operating Manual \nAIRCRAFT SPECIFICATIONS', 'Boeing 777-200ER Aircraft Operating Manual \nFIELD LENGTHS \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nRANGE \n \nSPEEDS', 'Boeing 777-200ER Aircraft Operating Manual \n \n(cid:131) V  \nREF\n \n(cid:131) V / V  / V  \n1  R 2\n \n \nALTITUDES \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nFUEL CONSUMPTION', 'Using standard operating procedures (see below) allows the pilots to estimate \nfuel loads closely and for company to budget appropriately.', 'Boeing 777-200ER Aircraft Operating Manual \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nRECOMMENDED EQUIPMENT', 'DELTA VIRTUAL AIRLINES STANDARD OPERATING PROCEDURES', 'Boeing 777-200ER Aircraft Operating Manual \nthese procedures pilots will be able to make better use of the manual and also operate \nthe aircraft in a similar fashion company wide.', 'Boeing 777-200ER Aircraft Operating Manual \n(cid:131) Execute “In Range” Checklist.', 'Boeing 777-200ER Aircraft Operating Manual \nSECURING THE AIRCRAFT \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nNORMAL CHECKLISTS \nRECEIVING AIRCRAFT', 'Boeing 777-200ER Aircraft Operating Manual \nIN RANGE', 'Boeing 777-200ER Aircraft Operating Manual \n \nEMERGENCY PROCEDURES \nMISSED APPROACH', 'Boeing 777-200ER Aircraft Operating Manual \nENGINE FAILURE SHUTDOWN MID FLIGHT \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nGEAR STUCK UP \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nPILOT NOTES AND OBSERVATIONS', 'Boeing 777-200ER Aircraft Operating Manual \nLEGAL STUFF \n(cid:131)']",31
manual,"[' \n \n \nDELTA VIRTUAL AIRLINES \n \n \n \nBOEING 777-200ER \nAIRCRAFT OPERATING MANUAL \nTHIRD EDITION \n \nNOVEMBER 2005', 'Boeing 777-200ER Aircraft Operating Manual \nAIRCRAFT HISTORY AND BACKGROUND', 'Boeing 777-200ER Aircraft Operating Manual', 'Boeing 777-200ER Aircraft Operating Manual \nENGINE TYPES', 'Boeing 777-200ER Aircraft Operating Manual \nCertification, first delivery, and entry into service of the 777-300ER are set for 2003.', 'Boeing 777-200ER Aircraft Operating Manual \nFLIGHT DECK', 'Boeing 777-200ER Aircraft Operating Manual \nAIRCRAFT SPECIFICATIONS', 'Boeing 777-200ER Aircraft Operating Manual \nFIELD LENGTHS \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nRANGE \n \nSPEEDS', 'Boeing 777-200ER Aircraft Operating Manual \n \n(cid:131) V  \nREF\n \n(cid:131) V / V  / V  \n1  R 2\n \n \nALTITUDES \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nFUEL CONSUMPTION', 'Any trip estimations that you see in this manual are for calm winds and standard \ntemperatures, any deviation from standard, winds or temperature will result in \ndifferent actual performance for your aircraft.', 'Boeing 777-200ER Aircraft Operating Manual \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nRECOMMENDED EQUIPMENT', 'For Delta Virtual Airlines, \nthese procedures are for the benefit of the pilots using this manual.', 'Boeing 777-200ER Aircraft Operating Manual \nthese procedures pilots will be able to make better use of the manual and also operate \nthe aircraft in a similar fashion company wide.', 'Boeing 777-200ER Aircraft Operating Manual \n(cid:131) Execute “In Range” Checklist.', 'Boeing 777-200ER Aircraft Operating Manual \nSECURING THE AIRCRAFT \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nNORMAL CHECKLISTS \nRECEIVING AIRCRAFT', 'Boeing 777-200ER Aircraft Operating Manual \nIN RANGE', 'Boeing 777-200ER Aircraft Operating Manual \n \nEMERGENCY PROCEDURES \nMISSED APPROACH', 'Boeing 777-200ER Aircraft Operating Manual \nENGINE FAILURE SHUTDOWN MID FLIGHT \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nGEAR STUCK UP \n(cid:131)', 'Boeing 777-200ER Aircraft Operating Manual \nPILOT NOTES AND OBSERVATIONS', 'Boeing 777-200ER Aircraft Operating Manual \nLEGAL STUFF \n(cid:131)', 'This manual is designed for use by Delta Virtual Airlines as reference material for \nflight simulator pilots operating the Boeing 777-200ER aircraft.', 'The information in this manual has been gathered from Internet resources and \nfrom test flying the aircraft.', 'This manual makes no claim to represent Boeing, \nRolls Royce, General Electric, Pratt & Whitney, Microsoft, Delta Air Lines,', ""This manual is freeware and is not to be included with any 'for sale' product.""]",33
edition,[' \n \n \nDELTA VIRTUAL AIRLINES \n \n \n \nBOEING 777-200ER \nAIRCRAFT OPERATING MANUAL \nTHIRD EDITION \n \nNOVEMBER 2005'],1
november,[' \n \n \nDELTA VIRTUAL AIRLINES \n \n \n \nBOEING 777-200ER \nAIRCRAFT OPERATING MANUAL \nTHIRD EDITION \n \nNOVEMBER 2005'],1
